Title,Status,Description,Tags,Currency,Price,Proposals,Location,Payment Method
Splunk Performance Troubleshooting,N/A,"In our current setup, we've encountered issues related to troubleshooting and system performance within Splunk. We particularly need expertise in optimizing dashboards and visualizations. The role will involve:

- Identifying bottlenecks and issues affecting the performance
- Recommending improvements and implementing fixes 
- Enhancing dashboard and visualization features 

Ideally, candidates should be proficient with Splunk architecture, have previous experience in troubleshooting Splunk systems, and be adept at improving Splunk dashboards and visualizations.",Certified Information Systems Security Professional (CISSP),₹,750,0 bids,"Bengaluru,  India",Open
Universal Social Media Lead Generation,N/A,"I am in need of a skilled social media strategist to assist with lead generation across varying social media platforms. While particular platforms haven't necessarily been selected, it's critical the freelancer possesses a deep understanding of the most popular and effective social media networks. 

Key Requirements:
• Proficiency and versatile experience in Facebook, Instagram, Twitter, etc.
• Proven track record of lead generation through social media
• Understanding of varying demographic engagement strategies, as the target audience spans from young adults (18-25), working professionals (25-40), to older adults (40+)

The purpose of this project is purely lead generation. Therefore, the successful freelancer should showcase their ability to not only reach but e...",Facebook Marketing,€,30,6 bids,"Faro,  Portugal",Open
create an attractive logo form channel. - 11/06/2024 05:03 EDT,N/A,"The name of my channel is ""NBN CREATIONS"".try to create a text based logo. it must be attractive and simple.",Graphic Design,N/A,N/A,0 entries,N/A,N/A
Advanced Digital Marketing Instruction,N/A,"Seeking a qualified instructor well-versed in SEO, PPC and social media marketing. Each session will consist of 1-hour advanced-level instruction. 

- Digital Marketing Expertise: Show your understanding and practical experience in SEO, PPC, and social media marketing. A proven track record in these areas is most desirable.
- Teaching Ability: Cater your lessons to advanced learners. Tailor your teaching to those who already have a solid foundation in digital marketing and intend to expand their knowledge further.
- Flexibility: Be prepared to provide 1-hour sessions. Your class structure should be efficient, covering all essential aspects within the specified period. 

I look forward to delving more deeply into digital marketing tactics with an expert in the field.",Digital Marketing,₹,1500,2 bids,"Mumbai,  India",Open
A2H to Zoho Books Data Migration,VERIFIED,"I need assistance in migrating my business data from A2H accounting software to Zoho Books. The data comprises of:
- 50,000+ Invoices
- 4,000 Accounts
- 15,000 Items

The priority is to transfer this data accurately and efficiently, with a focus on maintaining data integrity. 

Key aspects:
- Migrating Invoices: This is the bulk of the data, with over 50k invoices to be transferred. Each invoice must be accurately migrated to Zoho Books.
- Migrating Accounts: There are around 4k accounts in the A2H software that need to be transferred. The integrity of this data is crucial.
- Migrating Items: There are 15k items that need to be migrated to Zoho Books. The associated details and categorizations must be correctly transferred.

Your experience with data migration, particularly with accounting...",CRM,₹,1500,2 bids,"Sita Nagar,  India",Open
Dokan-SkipCash Integration for Recurring Payments,VERIFIED,"I'm looking for a skilled developer to integrate the WP Dokan recurring subscription plugin with the SkipCash payment gateway on my website. 

Key Requirements:
- **Recurring Payments:** The primary goal is to enable recurring payments for subscriptions on the website using the SkipCash payment gateway. 

The plugin and the gateway have been partially set up but require integration to ensure the smooth operation of the recurring payment system.

Ideal Candidate:
- Experience with Dokan and SkipCash integration.
- Proficiency in WordPress plugin development and PHP.
- Prior experience with subscription and payment gateway integration.
- Ability to troubleshoot and ensure seamless operation post-integration. 

Please feel free to ask any questions you may have. I look forward to your pr...",CSS,$,30,25 bids,"Cornich- Al Mazraa,  Lebanon",Open
Paid Study On Diverse Product E-Commerce Setup,N/A,"We’re ActionEdge a leading Market Research Firm. We’re working on behalf of key point intelligence which is conducting a research study involving 60 min long interviews with micro-businesses and solopreneurs engaged with direct-to-garment (DTG), direct-to-fabric (DTF), UV-curable direct-to-object, and dye sublimation printing.

As a microbusiness specializing in product sales, I'm urgently seeking an expert who can help me set up an e-commerce platform. This will primarily cater to selling physical, digital, and handmade products. 

Key Points:
- **Urgent Launch**: I'm looking for a freelancer who can deliver a functional e-commerce website as soon as possible. 
- **Diverse Product Range**: The platform should be designed to handle a diverse range of products includin...",Branding,$,30,2 bids,"Ahmedabad,  India",Open
Urgent: SAP BTP API - SAP S/4HANA Public Cloud Developer side by side extensions,VERIFIED,"I need a SAP BTP API specialist to help our team with urgent requirements. 

SAP S/4HANA Public Cloud 
SAP OData Service 
Side by side extensions 
10+ years of experience in the SAP Technical Field 


The project will involve integrating our existing SAP S/4HANA and SAP ERP systems with the SAP BTP API. The key functionalities desired are:

- Data Extraction and Analysis: We need to be able to extract data from our SAP systems and analyze it in a meaningful way.
- Third-Party System Integration: We require seamless integration with external systems for a more streamlined operation.

Your role will be crucial in ensuring that the integration is not only successful but also reliable, secure, and scalable. 

The ideal candidate should have:
- Proven experience working with SAP S/4HANA and SAP...",SAP,$,2,2 bids,"Sandton,  South Africa",Open
Shopify Multi-Product Store Development,VERIFIED,"I am seeking an experienced Shopify developer to create a multi-product e-commerce store. The ideal candidate should have a deep understanding of Shopify's capabilities and be able to leverage them to create a user-friendly and visually appealing store.

Key features and functionalities that I'm looking to incorporate in the store include:
- Customer reviews: Implementing a review system that allows customers to leave feedback on products.
- Live chat support: Integrating a live chat feature to provide real-time assistance and support to customers.
- Membership or subscription options: Developing a subscription-based model for customers who wish to sign up for regular delivery of products.
- Automated refund exchange app settings: Setting up an automated system for managing refun...",eCommerce,₹,12500,23 bids,"Delhi,  India",Open
Youth-Oriented Gym Activewear Design,N/A,"I'm seeking a fashion designer who can help me create a unique, appealing activewear line for teens and young adults. 

Key requirements:
- **Design Creativity**: You'll need to come up with fresh, original ideas for the activewear line.
- **Understanding of the Target Audience**: Experience working with youth-oriented fashion is a plus. 
- **Knowledge of Gym and Fitness Fashion**: An understanding of current trends and materials in gym and fitness wear will be crucial.

You should be comfortable working closely with me to refine the design ideas, ensuring that the final product meets the needs of our target audience. Please include a portfolio or examples of previous relevant work in your bid.",Fashion Design,₹,1500,3 bids,"Chennai,  India",Open
